team,points,GDF
Aston Villa,64,13
Blackburn,50,-14
Bolton,39,-25
Chelsea,86,71
Everton,61,11
Portsmouth,28,-32
Stoke,47,-14
Wolves,38,-24
Man United,85,58
Tottenham,70,26
Sunderland,44,-8
Wigan,36,-42
Birmingham,50,-9
Burnley,30,-40
Hull,30,-41
Liverpool,63,26
Arsenal,75,42
Man City,67,28
Fulham,46,-7
West Ham,35,-19
