team,points,GDF
Arsenal,72,31
Bolton,41,-12
Everton,63,18
Hull,35,-25
Middlesbrough,32,-29
Sunderland,36,-20
West Ham,51,-3
Aston Villa,62,6
Chelsea,83,44
Man United,90,44
Blackburn,41,-20
Fulham,53,5
Liverpool,86,50
Newcastle,34,-19
Stoke,45,-17
Tottenham,51,0
West Brom,32,-31
Man City,50,8
Wigan,45,-11
Portsmouth,41,-19
