HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
"Derby","Man United",0,1,"A","P Dowd",10,17,8,9,5,11,13,7,4,1,0,0
"Man United","Bolton",2,0,"H","A Wiley",21,14,12,10,6,3,12,14,0,2,0,0
"Man United","Liverpool",3,0,"H","S Bennett",22,8,15,4,2,4,11,12,1,3,0,1
"Man United","Aston Villa",4,0,"H","M Halsey",14,13,7,6,4,7,7,5,1,1,0,0
"Middlesbrough","Man United",2,2,"D","M Riley",12,15,7,7,4,10,20,11,3,1,0,0
"Man United","Arsenal",2,1,"H","H Webb",13,18,7,11,6,5,12,7,2,6,0,0
"Blackburn","Man United",1,1,"D","R Styles",4,13,3,10,3,8,14,12,1,1,0,0
"Chelsea","Man United",2,1,"H","A Wiley",13,7,8,6,8,3,14,16,3,4,0,0
"Man United","West Ham",4,1,"H","M Riley",8,9,4,5,4,2,15,16,1,3,1,0
"Wigan","Man United",0,2,"A","S Bennett",15,11,6,6,5,12,10,5,3,2,0,0
"Man United","Newcastle",1,1,"D","M Riley",18,11,12,4,6,6,15,11,3,0,0,0
"Portsmouth","Man United",0,1,"A","C Foy",13,12,6,7,4,3,11,11,2,2,0,0
"Liverpool","Man United",2,1,"H","H Webb",16,7,11,3,5,4,10,18,0,3,0,1
"Chelsea","Man United",1,1,"D","M Riley",20,13,13,8,7,4,15,18,1,7,0,0
"Man United","Bolton",2,0,"H","R Styles",31,10,24,5,16,4,8,10,0,3,0,0
"Blackburn","Man United",0,2,"A","S Bennett",6,18,3,9,3,4,11,8,2,1,0,0
"Man United","West Brom",4,0,"H","M Halsey",18,6,14,2,15,1,11,14,0,1,0,0
"Everton","Man United",1,1,"D","A Wiley",13,18,9,14,5,9,17,11,3,3,0,0
"Man United","West Ham",2,0,"H","P Walton",21,4,12,1,3,1,10,9,1,2,0,0
"Man United","Hull",4,3,"H","M Dean",20,11,11,7,9,1,12,13,2,2,0,0
"Arsenal","Man United",2,1,"H","H Webb",11,17,7,9,5,6,16,7,3,2,0,0
