Arsenal,68,28
Bolton,56,-5
Everton,58,16
Newcastle,43,-9
Portsmouth,54,3
Reading,55,5
Sheffield United,38,-23
West Ham,41,-24
Chelsea,83,40
Man United,89,56
Tottenham,60,3
Watford,28,-30
Aston Villa,50,2
Blackburn,52,-2
Charlton,34,-26
Fulham,39,-22
Man City,42,-15
Middlesbrough,46,-5
Liverpool,68,30
Wigan,38,-22
