Arsenal,79,27
Liverpool,84,51
Norwich,33,-34
Sunderland,38,-19
Swansea,42,0
West Brom,36,-16
West Ham,40,-11
Chelsea,82,44
Crystal Palace,45,-15
Man City,86,65
Aston Villa,38,-22
Everton,72,22
Fulham,32,-45
Hull,37,-15
Newcastle,49,-16
Southampton,56,8
Stoke,50,-7
Cardiff,30,-42
Tottenham,69,4
Man United,64,21
